size,triton,torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,96.000000,78.267515
65536.000000,153.600004,153.600004
131072.000000,255.999991,255.999991
262144.000000,384.000001,387.023602
524288.000000,511.999982,558.545450
1048576.000000,722.823517,694.114732
2097152.000000,722.823517,768.000002
4194304.000000,792.774204,819.200021
8388608.000000,849.967034,862.315773
16777216.000000,889.251720,893.672720
33554432.000000,906.027677,908.120075
67108864.000000,917.322422,917.656936
134217728.000000,920.880580,921.420057
