N,Triton,Torch
256.000000,727.185512,1022.677165
384.000000,1024.713770,1254.477260
512.000000,1326.238579,1416.141874
640.000000,1429.837006,1451.832024
768.000000,1192.562110,1526.466876
896.000000,1214.892469,1562.390331
1024.000000,1264.501247,1583.048870
1152.000000,1307.057272,1383.564290
1280.000000,1285.766818,1432.879701
1408.000000,1353.279156,1462.612394
1536.000000,1332.363323,1343.884360
1664.000000,1329.967719,1390.437887
1792.000000,1319.371455,1390.117650
1920.000000,1327.243359,1379.255802
2048.000000,1351.864216,1453.522598
2176.000000,1342.088266,1243.917356
2304.000000,1323.964401,1273.482558
2432.000000,1344.985421,1285.629125
2560.000000,1386.398271,1358.698695
2688.000000,1350.342353,1395.253839
2816.000000,1348.403533,1349.914404
2944.000000,1375.932690,1410.624818
3072.000000,1336.564890,1417.127169
3200.000000,1328.304893,1385.457147
3328.000000,1366.988091,1426.294002
3456.000000,1360.215827,1435.232493
3584.000000,1360.595829,1432.434605
3712.000000,1357.825517,1446.014556
3840.000000,1356.941231,1443.452025
3968.000000,1367.564021,1467.085476
4096.000000,1370.240907,1467.198362
4224.000000,1404.416042,1457.924648
4352.000000,1398.181251,1466.828183
4480.000000,1424.775578,1489.427194
4608.000000,1401.847276,1469.409296
4736.000000,1419.220828,1471.352654
4864.000000,1415.906226,1477.345690
4992.000000,1409.720419,1475.416927
5120.000000,1409.227514,1484.127239
5248.000000,1411.064644,1488.244217
5376.000000,1413.338225,1474.944878
5504.000000,1420.920131,1481.873824
5632.000000,1423.972902,1486.401857
5760.000000,1421.046647,1496.223374
5888.000000,1424.660416,1493.139961
6016.000000,1429.780413,1498.566167
6144.000000,1429.805961,1493.412903
6272.000000,1406.887021,1478.704051
6400.000000,1407.322901,1489.151445
6528.000000,1416.017674,1491.654339
6656.000000,1413.174294,1488.245562
6784.000000,1424.885016,1503.210965
6912.000000,1428.390914,1503.107624
7040.000000,1414.388784,1494.551053
7168.000000,1416.134404,1503.471317
7296.000000,1423.174127,1495.577743
7424.000000,1412.209218,1488.390584
7552.000000,1421.228299,1501.749240
7680.000000,1416.746108,1495.662577
7808.000000,1423.750434,1495.653942
7936.000000,1417.175743,1489.936511
8064.000000,1427.436548,1500.531704
8192.000000,1418.608211,1501.226704
8320.000000,1407.840433,1505.179583
8448.000000,1404.920518,1510.426164
8576.000000,1403.003908,1512.703342
8704.000000,1405.933493,1509.829538
8832.000000,1402.348183,1507.980927
8960.000000,1392.367655,1510.633806
9088.000000,1402.773532,1510.874231
9216.000000,1403.724360,1509.353937
9344.000000,1405.676567,1483.362220
9472.000000,1406.128821,1483.460713
9600.000000,1410.495690,1486.533185
9728.000000,1405.702373,1493.682315
9856.000000,1410.346184,1492.788008
9984.000000,1406.725772,1490.946344
10112.000000,1404.954073,1496.324245
10240.000000,1408.123167,1492.100630
10368.000000,1406.953134,1495.159972
10496.000000,1412.247586,1495.330427
10624.000000,1405.068627,1498.080130
10752.000000,1406.896050,1496.063559
10880.000000,1407.649516,1500.336582
11008.000000,1412.376073,1502.491213
11136.000000,1408.876303,1499.532917
11264.000000,1414.206014,1500.131552
11392.000000,1412.762002,1503.412051
11520.000000,1412.771686,1499.928128
11648.000000,1413.451680,1503.510380
11776.000000,1414.925082,1504.986203
11904.000000,1413.559709,1503.751256
12032.000000,1412.618007,1502.259044
12160.000000,1411.891402,1503.836199
12288.000000,1409.834675,1497.518147
12416.000000,1415.476179,1496.121659
12544.000000,1415.352893,1493.650269
12672.000000,1412.968509,1493.749222
