M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,5.461333,5.349878
384.000000,384.000000,384.000000,13.559172,13.824000
512.000000,512.000000,512.000000,26.379270,30.954273
640.000000,640.000000,640.000000,51.200001,51.200001
768.000000,768.000000,768.000000,87.381335,73.727997
896.000000,896.000000,896.000000,87.808000,87.296493
1024.000000,1024.000000,1024.000000,116.508440,116.508440
1152.000000,1152.000000,1152.000000,149.299204,149.299204
1280.000000,1280.000000,1280.000000,118.832274,120.139317
1408.000000,1408.000000,1408.000000,143.467796,136.294403
1536.000000,1536.000000,1536.000000,168.521144,160.861090
1664.000000,1664.000000,1664.000000,204.375571,187.721758
1792.000000,1792.000000,1792.000000,155.967716,152.012491
1920.000000,1920.000000,1920.000000,177.230775,176.699822
2048.000000,2048.000000,2048.000000,164.482513,162.245664
2176.000000,2176.000000,2176.000000,183.150380,182.682759
2304.000000,2304.000000,2304.000000,205.929926,202.600553
2432.000000,2432.000000,2432.000000,180.092724,177.813069
2560.000000,2560.000000,2560.000000,197.434752,195.047621
2688.000000,2688.000000,2688.000000,189.754226,189.694918
2816.000000,2816.000000,2816.000000,207.686706,208.182383
2944.000000,2944.000000,2944.000000,193.162926,190.168497
3072.000000,3072.000000,3072.000000,208.173173,205.540166
3200.000000,3200.000000,3200.000000,200.058612,205.148746
3328.000000,3328.000000,3328.000000,214.279745,221.213899
3456.000000,3456.000000,3456.000000,208.047270,204.105230
3584.000000,3584.000000,3584.000000,203.428493,208.137481
3712.000000,3712.000000,3712.000000,216.228019,220.660935
3840.000000,3840.000000,3840.000000,210.263450,204.835556
3968.000000,3968.000000,3968.000000,205.925854,211.801150
4096.000000,4096.000000,4096.000000,205.225892,199.136092
