M,N,K,Triton
256.000000,256.000000,256.000000,5.433036
384.000000,384.000000,384.000000,13.824000
512.000000,512.000000,512.000000,32.640497
640.000000,640.000000,640.000000,51.200001
768.000000,768.000000,768.000000,88.197981
896.000000,896.000000,896.000000,87.808000
1024.000000,1024.000000,1024.000000,116.508440
1152.000000,1152.000000,1152.000000,149.299204
1280.000000,1280.000000,1280.000000,145.959906
1408.000000,1408.000000,1408.000000,172.900726
1536.000000,1536.000000,1536.000000,168.521144
1664.000000,1664.000000,1664.000000,204.520726
1792.000000,1792.000000,1792.000000,193.678814
1920.000000,1920.000000,1920.000000,190.758088
2048.000000,2048.000000,2048.000000,186.413508
2176.000000,2176.000000,2176.000000,209.621326
2304.000000,2304.000000,2304.000000,213.344096
2432.000000,2432.000000,2432.000000,209.660176
2560.000000,2560.000000,2560.000000,214.872135
2688.000000,2688.000000,2688.000000,212.547330
2816.000000,2816.000000,2816.000000,218.071046
2944.000000,2944.000000,2944.000000,216.208387
3072.000000,3072.000000,3072.000000,222.925595
3200.000000,3200.000000,3200.000000,222.222214
3328.000000,3328.000000,3328.000000,230.741341
3456.000000,3456.000000,3456.000000,222.711519
3584.000000,3584.000000,3584.000000,222.838649
3712.000000,3712.000000,3712.000000,232.319412
3840.000000,3840.000000,3840.000000,226.622955
3968.000000,3968.000000,3968.000000,225.552567
4096.000000,4096.000000,4096.000000,222.560226
