N,Triton,Torch
1024.000000,66.930385,219.459185
1536.000000,203.492836,329.556641
2048.000000,127.854332,432.699866
2560.000000,245.070732,541.619845
3072.000000,191.945323,652.099489
3584.000000,219.937034,747.355939
4096.000000,253.075460,792.774204
4608.000000,282.505305,779.846612
5120.000000,314.032670,733.885803
5632.000000,1107.934448,669.770227
6144.000000,1165.084414,654.178825
6656.000000,1187.687684,633.983405
7168.000000,691.499030,646.736871
7680.000000,494.114105,644.475536
8192.000000,606.931879,653.182740
8704.000000,1294.977093,639.865215
9216.000000,565.010610,638.049917
9728.000000,1316.030262,631.005415
10240.000000,1346.630084,632.434238
10752.000000,741.117926,632.083291
11264.000000,922.599238,617.205496
11776.000000,722.217448,614.191370
12288.000000,1055.908678,614.640093
12800.000000,727.504158,624.152371
13312.000000,774.105868,630.775894
13824.000000,1390.729907,631.371793
14336.000000,817.132867,631.310072
14848.000000,818.083379,618.733798
15360.000000,890.434763,626.938780
15872.000000,907.984804,629.665581
